name,category,tags,team_or_individual,team_size_min,team_size_max,grade_min,grade_max,cost_tier,cost_detail,advisor_required,registration_owner,start_by_date,deadline_display,deadline_date,deadline_type,time_commitment,full_timeline,what_it_is,what_you_need_to_do,source_url,verification_status,last_checked,notes,active
MIT THINK Scholars,STEM & Research,STEM|Research,Both,1,2,9,12,Free,Free to apply.,FALSE,Student,,"Applications due January 1, 2027",2027-01-01,Submission,Weeks,"Applications open Nov 1, 2026. Due Jan 1, 2027. Winners receive funding and MIT mentorship.","Rather than judging finished research, THINK funds students who have done deep background work on a project but lack the resources to build it. Selected students get mentorship and a budget.","Write a project proposal in science, tech, or engineering. Strong proposals have an insightful idea, clearly defined goals, and a realistic implementation procedure. Start well before November.",https://think.mit.edu/,Verified-3rdParty,,US residents only.,TRUE
Central Sound Regional Science & Engineering Fair,STEM & Research,STEM|Research|Science Fair,Both,1,3,9,12,Free,Free to enter.,TRUE,Teacher,,"Fair day Saturday, March 6, 2027",2027-03-06,Competition date,Semester-long,"Fair March 6, 2027 at Mountlake Terrace High School. Top projects advance to WSSEF. Grand Champion advances directly to ISEF.","The ISEF-affiliated regional fair for the Central Sound area. You present to local industry professionals and academics, get feedback, and compete for advancement.","Run an original science or engineering project inside a continuous 12-month window. Secure ISEF approval BEFORE testing if it involves human participants, vertebrate animals, hazardous biological agents, or hazardous chemicals. Submit Forms 1, 1A, 1B and a research plan. Keep a daily digital logbook.",https://www.centralsoundfair.org/,Verified-3rdParty,,Advisor must be on record BEFORE registration. Cannot have reached age 20 before May 1 of competition year. King/Snohomish students must do this fair before WSSEF.,TRUE
Washington State Science & Engineering Fair (WSSEF),STEM & Research,STEM|Research|Science Fair,Both,1,3,9,12,Under $50,$30 per student.,TRUE,Teacher,,"Grades 9-12 compete April 3, 2027",2027-04-03,Competition date,Semester-long,"April 2-3, 2027. High school competes April 3. Grand Champions (roughly top 9-10 projects) form the WISE team that goes to ISEF.",The state fair. High schoolers from across Washington present independent research and compete within a single category.,"You do not need to win at CSRSEF to attend, but King and Snohomish county students must participate in their regional fair first. A high placement in your category does not guarantee ISEF. Only Grand Champion awards advance.",https://wssef.org/,Verified-3rdParty,,Cannot have reached age 20 before May 1 of competition year.,TRUE
Regeneron ISEF,STEM & Research,STEM|Research|Science Fair,Both,1,3,9,12,Free,Free for finalists.,TRUE,Teacher,,"May 8-14, 2027",2027-05-08,Competition date,Semester-long,"May 8-14, 2027. Entry is by qualification through WSSEF Grand Champion only.","The world's largest and most prestigious pre-college STEM competition. Roughly 1,800 finalists from more than 60 countries compete for nearly $9 million in prizes and scholarships.","You cannot enter directly. Qualify through the regional and state fair pipeline. Note the booth rules: no live organisms, no unshielded high voltage, no liquids including water, no hazardous chemicals active at the exhibition booth.",https://www.societyforscience.org/isef/,Verified-3rdParty,,Qualification required. Start at CSRSEF.,TRUE
Davidson Fellows Scholarship,STEM & Research,STEM|Research|Writing|Scholarship,Both,1,2,9,12,Free,Free to apply.,FALSE,Student,,Typically mid-February 2027,2027-02-15,Submission,Semester-long,2027 application opens Fall 2026. Typical deadline mid-February.,"One of the most demanding scholarships available. Awards $50,000, $25,000, or $10,000 to students 18 and under for a significant completed body of work in STEM, literature, music, philosophy, or an outside-the-box category.","Submit a completed, original work that makes a genuine contribution to your field. For STEM that usually means research that could be peer-reviewed or already is. Also required: a written overview, a video presentation, and letters of recommendation. Successful applicants often spend 12 to 24 months on the work.",https://www.davidsongifted.org/gifted-programs/fellows-scholarship/,Unverified-Typical,,Must be 18 or younger. Exact 2027 date not confirmed.,TRUE
Breakthrough Junior Challenge,STEM & Research,STEM|Video|Communication,Individual,1,1,9,12,Free,Free to apply.,FALSE,Student,,"Submissions close September 15, 2026",2026-09-15,Submission,Weeks,"Opens May, closes mid-September annually. Peer review follows submission.","A global science video competition. Students explain one big idea in physics, mathematics, or the life sciences in under two minutes. The overall winner receives a $250,000 college scholarship, money for their teacher, and a new science lab for their school.","Make an original video of two minutes or less explaining a scientific concept. Animated, live-action, or both. Then score at least five other students' videos in the peer review round, which is required to complete your entry. Regional champions are decided partly by likes and positive reactions across Breakthrough's social channels.",https://breakthroughjuniorchallenge.org/enter,Verified-3rdParty,,"Ages 13-18. Popularity voting is part of judging, so plan distribution, not just the video.",TRUE
GENIUS Olympiad,STEM & Research,STEM|Environment|Business|Art|Writing,Both,1,2,9,12,$50-200,$50 application fee per project. $500 participant registration if selected as a finalist.,TRUE,Student,,"Applications due March 7, 2027, 6:00 AM PST",2027-03-07,Submission,Weeks,"Applications due March 7, 2027. Finalists announced March 25, 2027. Global finals June 8-11, 2027 in Rochester, NY.","An international project competition focused entirely on environmental issues, across Science, Writing, Business, Robotics, Art, Music, and Short Film.",Build and submit a project addressing an environmental problem. Depending on category this ranges from lab research on renewable energy to an artwork or a sustainability business plan. Submit online for initial judging to earn a finals invitation.,https://www.geniusolympiad.org/,Verified-3rdParty,,Ages 13-18. The $500 finalist fee plus travel to Rochester is the real cost. Budget before entering.,TRUE
"Research Publication Venues (NHSJS, JEI)",STEM & Research,STEM|Research|Publication,Both,1,,9,12,Free,"Free to submit, publishing fee may apply.",TRUE,Student,,"Rolling, year-round",,Rolling,Semester-long,"Rolling submissions. Review and revision often takes several months, so submit as soon as the paper is done.",Peer-reviewed journals that publish original research by high schoolers. NHSJS and JEI are the two most established.,"Write a full formal manuscript with Abstract, Introduction, Methods, Results, Discussion, and References. Submit through the journal portal with mentor or teacher consent forms. Expect peer review and required revisions before publication.",https://nhsjs.com,Rolling,,"NHSJS grades 9-12, JEI grades 6-12. Requires a professor or senior mentor. Second URL: emerginginvestigators.org",TRUE
US Physics Olympiad (USAPhO),STEM & Research,STEM|Physics|Exam,Individual,1,1,9,12,Under $50,$35 to $50 school site registration plus $3 to $6 per student for the F=ma exam.,TRUE,School,,"Registration closes mid-to-late January 2027. Exam February 12, 2027.",2027-01-15,Registration,One day,"Registration opens mid-to-late September 2026, closes mid-to-late January 2027. F=ma exam expected February 12, 2027. High scorers advance to USAPhO.","The premier US high school physics competition, run by AAPT. It is the primary path onto the U.S. Physics Team.","Take the F=ma exam, a 75-minute multiple choice test on algebra-based classical mechanics. High scorers advance to USAPhO, a calculus-based free-response exam covering mechanics, E&M, thermodynamics, and optics.",https://www.aapt.org/physicsteam/,Verified-3rdParty,,"BLOCKER: a teacher must register the school as an official testing site through the AAPT portal. Ask the physics teacher, department head, or counselor.",TRUE
US Chemistry Olympiad (USNCO),STEM & Research,STEM|Chemistry|Exam,Individual,1,1,9,12,Free,Free for most local ACS sections.,TRUE,School,,Local exam typically March 2027,2027-03-01,Competition date,One day,WA Puget Sound section usually hosts the local exam at Bellevue College in March. National Exam set by ACS for mid-April 2027.,A multi-tier chemistry competition run by the American Chemical Society to identify top high school chemistry students nationally.,"Sign up through your school or the local ACS section for the Local Chemistry Olympiad Exam. Check the school Chemistry Club. Top performers advance to the National Exam: multiple choice, written free response, and a hands-on lab practical.",https://www.acs.org/education/olympiad.html,Unverified-Typical,,Students under 20. Exact local exam date not confirmed.,TRUE
